est_id,t,power,good
320800909,1410721227.661130,-20.80,1
320800910,1410721229.801340,-20.92,1
320800911,1410721231.971440,-20.78,1
320800912,1410721234.106070,-20.88,1
320800913,1410721236.250170,-20.90,1
320801730,1410721268.541900,-20.82,1
320801731,1410721270.686030,-20.78,1
320801732,1410721272.845960,-20.91,1
320801733,1410721275.001480,-20.97,1
320801734,1410721307.354550,-20.84,1
320801735,1410721309.511890,-20.69,1
320801736,1410721311.670670,-20.76,1
320801737,1410721313.827030,-20.78,1
320801738,1410721316.000130,-20.68,1
320801611,1410721348.436710,-20.94,1
320801612,1410721350.590220,-20.73,1
320801613,1410721352.763800,-20.82,1
320801614,1410721354.930850,-20.88,1
320801615,1410721357.092050,-20.91,1
320802415,1410721389.611420,-20.72,1
320802416,1410721391.767710,-20.92,1
320802417,1410721393.940260,-20.66,1
320802418,1410721396.107350,-20.70,1
320802419,1410721428.674940,-20.89,1
320802420,1410721428.980230,-11.10,0
320802421,1410721429.039890,-30.16,0
320802422,1410721429.112300,-30.83,0
320802423,1410721429.404460,-16.36,0
320802424,1410721429.636020,-15.17,0
320802425,1410721430.848260,-20.97,1
320802426,1410721433.031940,-20.85,1
320802427,1410721435.200940,-20.90,1
320802428,1410721437.371690,-20.86,1
320802366,1410721469.999860,-20.81,1
320802367,1410721471.152970,-27.99,0
320802368,1410721472.168310,-20.77,1
320802369,1410721474.352720,-20.79,1
320802370,1410721476.525370,-20.86,1
320802371,1410721478.704970,-20.92,1
320803032,1410721511.368420,-20.88,1
320803033,1410721513.540860,-20.86,1
320803034,1410721515.724110,-20.86,1
320803035,1410721517.905700,-20.80,1
320803036,1410721550.598180,-20.85,1
320803037,1410721552.777370,-21.00,1
320803038,1410721554.961780,-20.91,1
320803039,1410721557.131170,-20.90,1
320803040,1410721559.315040,-20.79,1
320802961,1410721592.037560,-20.85,1
320802962,1410721594.221830,-20.83,1
320802963,1410721596.405780,-20.83,1
320802964,1410721598.585380,-20.83,1
320803728,1410721631.338420,-20.82,1
320803729,1410721633.518200,-20.74,1
320803730,1410721635.702720,-20.89,1
320803731,1410721637.882680,-20.73,1
320803732,1410721640.079300,-20.84,1
320803733,1410721672.830750,-20.76,1
320803734,1410721675.011830,-20.77,1
320803735,1410721677.206620,-20.72,1
320803736,1410721679.387880,-20.90,1
320803644,1410721712.153550,-20.79,1
320803645,1410721714.336240,-20.76,1
320803646,1410721716.528380,-20.82,1
320803647,1410721718.712120,-20.81,1
320803648,1410721720.891980,-20.88,1
320804557,1410721753.668940,-20.81,1
320804558,1410721755.852980,-20.86,1
320804559,1410721758.043960,-20.83,1
320804560,1410721760.227510,-20.92,1
320804561,1410721793.000410,-20.83,1
320804562,1410721795.185170,-20.73,1
320804563,1410721797.380920,-21.01,1
320804564,1410721799.561610,-21.08,1
320804438,1410721801.771730,-21.03,1
320804439,1410721834.498390,-20.83,1
320804440,1410721836.683770,-21.08,1
320804441,1410721838.863510,-20.92,1
320804442,1410721841.048770,-20.89,1
320805389,1410721873.747940,-20.92,1
320805390,1410721875.919250,-20.85,1
320805391,1410721878.099120,-20.94,1
320805392,1410721880.271000,-20.86,1
320805393,1410721882.455600,-20.97,1
320805394,1410721915.000180,-21.03,1
320805395,1410721917.168440,-20.93,1
320805396,1410721919.328880,-20.82,1
320805297,1410721921.483390,-21.05,1
320805298,1410721923.644690,-20.81,1
320805299,1410721956.028090,-21.17,1
320805300,1410721958.175550,-20.90,1
320805301,1410721960.332050,-20.96,1
320805302,1410721962.479820,-20.98,1
320806103,1410721994.709210,-21.03,1
320806104,1410721996.851730,-20.99,1
320806105,1410721999.003360,-21.10,1
320806106,1410722001.136330,-20.98,1
320806107,1410722003.279740,-21.07,1
320806108,1410722035.412220,-20.98,1
320806109,1410722037.544690,-21.02,1
320806110,1410722039.692660,-21.14,1
320805971,1410722041.825640,-21.04,1
320805972,1410722043.974220,-21.14,1
320805973,1410722076.069670,-20.99,1
320805974,1410722078.212990,-21.04,1
320805975,1410722080.350180,-21.14,1
320805976,1410722082.494970,-21.06,1
320805977,1410722084.629130,-21.20,1
320806745,1410722116.721810,-21.06,1
320806746,1410722118.858970,-21.20,1
320806747,1410722121.001710,-21.16,1
320806748,1410722123.176220,-21.05,1
320806749,1410722125.283490,-21.00,1
320806750,1410722157.401720,-21.22,1
320806751,1410722159.538180,-21.07,1
320806714,1410722161.682800,-20.98,1
320806715,1410722163.830290,-21.04,1
320806716,1410722165.974610,-20.93,1
320806717,1410722198.171640,-20.96,1
320806718,1410722200.320840,-21.19,1
320806719,1410722202.464540,-20.94,1
320806720,1410722204.623750,-21.04,1
320807369,1410722239.032760,-21.07,1
320807370,1410722241.180760,-20.98,1
320807371,1410722243.340860,-20.84,1
320807372,1410722245.484480,-20.99,1
320807373,1410722277.809000,-21.12,1
320807374,1410722279.969740,-21.05,1
320807300,1410722282.117700,-21.04,1
320807301,1410722284.272890,-20.97,1
320807302,1410722286.433640,-21.07,1
320807303,1410722318.829430,-20.96,1
320807304,1410722320.988870,-21.00,1
320807305,1410722323.146640,-20.91,1
320807306,1410722325.318280,-21.05,1
320807307,1410722327.474010,-20.91,1
320808184,1410722359.945760,-20.98,1
320808185,1410722362.106580,-21.20,1
320808186,1410722364.274070,-20.95,1
320808187,1410722366.446750,-21.01,1
320808188,1410722398.966780,-20.88,1
320808082,1410722401.134050,-21.10,1
320808083,1410722403.337970,-21.03,1
320808084,1410722405.475820,-20.99,1
320808085,1410722407.646700,-20.91,1
320808086,1410722440.232490,-21.06,1
320808087,1410722442.402980,-21.06,1
320808088,1410722444.583310,-20.94,1
320808089,1410722446.756560,-20.98,1
320808090,1410722448.924280,-21.16,1
320808920,1410722481.563720,-21.00,1
320808921,1410722483.747310,-21.13,1
320808922,1410722485.921100,-20.89,1
320808923,1410722488.100230,-20.87,1
320808843,1410722520.767770,-21.10,1
320808844,1410722522.948480,-21.32,1
320808845,1410722525.121310,-21.34,1
320808846,1410722527.299810,-21.01,1
320808847,1410722529.485390,-21.14,1
320808848,1410722562.160160,-21.07,1
320808849,1410722564.360680,-21.01,1
320808850,1410722566.526260,-21.11,1
320808851,1410722568.697330,-21.00,1
320809639,1410722601.373690,-20.98,1
320809640,1410722603.545360,-20.96,1
320809641,1410722605.725430,-20.94,1
320809642,1410722607.898130,-21.05,1
320809643,1410722610.082610,-20.66,1
320809572,1410722642.712830,-21.28,1
320809573,1410722644.878030,-20.94,1
320809574,1410722647.049190,-20.94,1
320809575,1410722649.221360,-21.19,1
320809576,1410722651.390910,-21.17,1
320809577,1410722683.958570,-21.12,1
320809578,1410722686.130090,-21.06,1
320809579,1410722688.299290,-21.03,1
320809580,1410722690.458700,-21.08,1
320810305,1410722722.959790,-21.06,1
320810306,1410722725.121110,-21.00,1
320810307,1410722727.304510,-21.05,1
320810308,1410722729.534790,-21.03,1
320810309,1410722731.620070,-21.27,1
320810256,1410722764.039900,-21.19,1
320810257,1410722766.214800,-21.20,1
320810258,1410722768.370420,-21.24,1
320810259,1410722770.517040,-21.16,1
320810260,1410722772.676250,-21.15,1
320810261,1410722805.073880,-21.12,1
320810262,1410722807.233800,-21.08,1
320810263,1410722809.389990,-21.16,1
320810264,1410722811.549720,-21.09,1
320811045,1410722843.974300,-21.13,1
320811046,1410722846.145590,-21.14,1
320811047,1410722848.318690,-21.16,1
320811048,1410722850.482030,-21.19,1
320811049,1410722852.633300,-21.11,1
320810876,1410722885.089610,-21.15,1
320810877,1410722887.249750,-21.13,1
